Specimen,1,2,3,4,5
PC1 +3,-7.869737167,-9.118858553,-9.564603008,-9.484096805,-7.759171817
PC1 +2,-6.320326594,-7.196048493,-6.104966597,-6.154161203,-4.794552555
PC1 +1,-4.22025744,-4.002705902,-0.05833432,-1.057719869,-0.511599053
PC1 +0,-0.882336516,-0.165814639,6.210256155,5.044885111,5.418322734
PC1 -1,4.824955682,7.409512425,19.58582304,16.18017011,15.62355595
PC1 -2,14.72642044,20.97228183,42.46560899,32.58253425,29.13519114
PC1 -3,34.28000831,45.70297608,52.46709766,30.60350826,24.96337931
