Specimen,PC3 +3 ,PC3 +2 ,PC3 +1 ,Mean ,PC3 -1 ,PC3 -2 ,PC3 -3 
20,1.558716613,0.876300434,-0.157248248,-0.284120394,0.334303571,0.332497837,-0.126366322
35,6.119371559,5.121270013,5.403224509,6.212592977,7.738191294,9.99959607,10.90867679
50,10.6242917,8.349513051,10.22527421,15.24152396,16.3752966,22.66321413,15.96946184
