Specimen,PC1 +3 ,PC1 +2 ,PC1 +1 ,Mean ,PC1 -1 ,PC1 -2 ,PC1 -3 
20,-6.462361319,-4.230515699,-2.878586043,-0.284120394,5.533318143,13.70328992,14.39610735
35,-9.565726824,-6.104975785,-0.058334422,6.212592977,19.60385248,42.64616787,52.93207431
50,-13.70015718,-6.29385153,2.027948283,15.24152396,39.46726687,85.2706586,98.08239746
