Group, SLD, SLH, SMD, SMH, SRD, SRH, CAH, CAW, CMH, CMW, CPH, CPW, AID, AIW, AMD, AMW, ASD, ASW
PCA Range, 26.07817125, 32.87200928, 27.15714264, 32.0625, 27.07468414, 34.7215538, 24.68677139, 43.59895325, 27.4121623, 45.67185783, 27.410254, 40.44999695, 29.57440567, 43.96969795, 31.84999847, 40.25609589, 34.17027664, 43.14451599
PCA Range, 32.9032259, 46.51770782, 33.23795319, 46.74445915, 33.6000011, 46.31157684, 33.66666675, 61.90610695, 32.47088706, 62.1502552, 32.40266848, 58.54412079, 45.39583397, 62.1502552, 47.12812805, 61.90610695, 47.5, 61.19456673
PCA Range, 29.48946634, 39.87990833, 29.84389335, 39.35361586, 29.98030946, 40.76242269, 29.10335202, 51.41364387, 29.25760081, 53.26061433, 29.37019397, 49.03278989, 37.71235256, 52.92970993, 39.66393609, 46.96979108, 40.93129855, 51.12755572
