Experimental,Computational
2338.647831,3335.55
3979.687165,3493.48
4151.630172,4108.86
4744.393646,3195.34
4273.236075,4580.19
7118.559029,3902.01
4444.188974,5459.05
4847.70048,4532.05
4778.72881,5219.9
3231.004754,3431.05
5041.958695,4123.99
5748.806518,4217.01
4488.275594,4245.59
4403.327406,5573.86
