Experimental,Computational
2338,3163.62
3979,4029.16
4151,3491.6
4744,3572.4
4273,4211.14
7118,5334.7
4444,4979.92
4847,4453.12
4778,5741.7
3231,3630.7
5041,4102.22
5748,5242.26
4488,4348.5
4403,5431.9

