Experimental,Computational
2338.647831,3585.09
3979.687165,3527.91
4151.630172,3316.05
4744.393646,3530.72
4273.236075,4058.48
7118.559029,5170.55
4444.188974,5263.76
4847.70048,4422.04
4778.72881,5968.18
3231.004754,3729.11
5041.958695,4207.65
5748.806518,5140.18
4488.275594,4414.85
4403.327406,5911.52
