Experimental,Computational
2990.817044,3413.749695
3456.240763,3140.277624
3244.364124,2800.252676
3223.136472,2830.736637
2890.89028,3537.552357
6149.262651,5808.056831
5153.31127,5349.439144
5357.358378,4832.502842
5337.998804,6280.134678
3276.735591,4115.078449
5064.354683,4531.649113
6098.292639,4923.287868
4956.629696,5412.956238
7184.830742,6137.997627
