Position,STS14E,STS14F,STS14G,STS14H,STS14I,Mean,SD
9,-69.34532444,-49.45788224,-76.78741164,-75.1751376,-80.7641924,-70.30598966,11.05131574
10,-38.87498791,-15.94625776,-49.76862926,-45.43015818,-54.80875995,-40.96575861,13.56021258
11,-4.072381781,0.928348157,-5.609231581,-4.533644072,-8.124453684,-4.282272592,2.959087226
12,-1.524272314,0.765350612,-1.755287995,-1.494024892,-3.104845378,-1.422615993,1.244443447
13,0.375326371,-1.343555895,-0.60894097,-0.247929786,0.572302677,-0.250559521,0.691653179
14,-0.43636979,-3.219704592,-3.422945718,-2.205583379,-1.468260531,-2.150572802,1.110769444
15,-32.39048448,-29.10344643,-46.60678598,-41.76773938,-47.08509532,-39.39071032,7.372333901
16,-66.66847984,-59.21761178,-75.42847179,-73.4721079,-78.07253892,-70.57184205,6.817824133
