Position,STS14E,STS14F,STS14G,STS14H,STS14I,Mean
1,-13.1285659,31.68793013,-42.72288715,-29.97619874,-36.6574925,-18.15944283
2,-38.87498791,-15.94625776,-49.76862926,-45.43015818,-54.80875995,-40.96575861
3,-46.70510589,-50.7018956,-54.68307797,-53.62101453,-59.35906825,-53.01403245
4,-32.39048448,-29.10344643,-46.60678598,-41.76773938,-47.08509532,-39.39071032
5,-56.94323566,-31.67317315,-75.48587856,-70.6232459,-74.73198044,-61.89150274
6,-69.34532444,-49.45788224,-76.78741164,-75.1751376,-80.7641924,-70.30598966
7,-73.42949183,-74.14268658,-79.99083459,-79.35915109,-82.08426847,-77.80128651
8,-66.66847984,-59.21761178,-75.42847179,-73.4721079,-78.07253892,-70.57184205
