Position,STS14E,STS14F,STS14G,STS14H,STS14I,Mean
1,5.566434581,13.06931756,0.844112006,4.723558288,9.051713955,6.651027277
2,-4.072381781,0.928348157,-5.609231581,-4.533644072,-8.124453684,-4.282272592
3,-8.602891403,-12.64471901,-8.898496425,-9.871076511,-14.31996976,-10.86743062
4,-0.43636979,-3.219704592,-3.422945718,-2.205583379,-1.468260531,-2.150572802
5,6.816918093,25.17138219,-6.935757175,2.433182923,5.35980061,6.569105329
6,-11.47193211,-0.54332515,-17.04945298,-13.79778847,-20.88048383,-12.74859651
7,-18.64362731,-24.19406769,-21.74259055,-21.92790202,-28.46807153,-22.99525182
8,-5.309568707,-8.317570196,-13.50042697,-10.10809739,-11.14720404,-9.676573462
