Position,STS14E,STS14F,STS14G,STS14H,STS14I
-10,-56.94323566,-31.67317315,-75.48587856,-70.6232459,-74.73198044
-5,-13.1285659,31.68793013,-42.72288715,-29.97619874,-36.6574925
-1,5.566434581,13.06931756,0.844112006,4.723558288,9.0517139557
-0.5,3.258872449,6.547403442,1.593440248,3.174492984,5.741926339
0.5,-4.023426168,-6.430689151,-3.656775474,-4.4781078,-6.9709891565
1,-8.602891403,-12.64471901,-8.898496425,-9.871076511,-14.31996976
5,-46.70510589,-50.7018956,-54.68307797,-53.62101453,-59.35906825
10,-73.42949183,-74.14268658,-79.99083459,-79.35915109,-82.08426847
