Specimen,1,2,3,4,5
PC1 +3,-4.174425311,-5.241605698,-6.461521354,-6.346953233,-4.955192409
PC1 +2,-2.873974743,-3.445949114,-4.23065983,-4.69562347,-3.560866518
PC1 +1,-2.560622835,-3.006933875,-2.878406898,-3.360357268,-2.260073064
PC1 +0,-1.119363626,-1.214443697,-0.284112408,-0.895872034,0.233505564
PC1 -1,1.172843136,2.143980757,5.527695429,3.963183325,4.6589823
PC1 -2,6.121014303,8.350793931,13.62211235,10.47912409,10.23776525
PC1 -3,17.86230213,21.92763988,14.28743191,6.014016018,5.3416834
