Specimen,1,2,3,4,5
PC2 +3,-0.418164741,-1.534587569,-0.399730302,1.872327998,3.899459514
PC2 +2,-0.817399196,-1.703066652,-0.690067943,0.59682879,2.018829552
PC2 +1,-0.675358903,-1.254980468,-0.681221607,-0.612202756,0.652957801
PC1 +0,-1.119363626,-1.214443697,-0.284112408,-0.895872034,0.233505564
PC2 -1,-1.002861978,-1.270408433,0.899311831,-0.06626581,0.505017949
PC2 -2,-1.559593081,-1.940135826,-0.544250495,-0.791969898,0.088434069
PC2 -3,-2.235543679,-3.624158595,-2.104242782,-1.394772305,-0.592883299
