Specimen,1,2,3,4,5
PC3 +3,1.430743376,0.588970415,1.556699722,-0.551915263,0.130710845
PC3 +2,0.41250695,-0.451325993,0.876284512,-0.520519507,0.15434521
PC3 +1,-0.119090998,-0.849443468,-0.157017992,-0.871868289,0.123959055
PC1 +0,-1.119363626,-1.214443697,-0.284112408,-0.895872034,0.233505564
PC3 -1,-1.026008253,-1.359393581,0.334096356,0.335485428,1.234094808
PC3 -2,-1.838076442,-0.850125823,0.329285818,0.178381423,1.342462316
PC3 -3,-2.447790348,-1.050683947,-0.137928921,0.069628632,1.371845024
