Specimen,1,2,3,4,5
PC2 +3,1671.59,3538.41,4568.08,2465.38,1180.42
PC2 +2,1586.74,3534.8,4795.18,2469.72,1140.76
PC2 +1,1578.42,3586.51,4922.04,2469.77,1128.71
PC1 0,1611.63,3702.93,4624.93,2185.58,1006.4
PC2 -1,1282.33,3028.16,4603.52,2248.52,9.93E+02
PC2 -2,1263.15,2981.75,3856.68,1775.32,8.03E+02
PC2 -3,9.07E+02,2166.02,3528.11,1758.71,7.61E+02
