Specimen,1,2,3,4,5
PC3 +3,6.62E+02,1616.38,3229.91,1703.16,6.93E+02
PC3 +1,1125.19,2731.2,4349.82,2095.5,9.01E+02
PC3 +2,7.99E+02,1965.32,3852.63,1974.95,8.03E+02
PC1 0,1611.63,3702.93,4624.93,2185.58,1006.4
PC3 -1,1703.69,3842.89,5019.51,2485.95,1148.21
PC3 -2,2568.99,5189.82,4704.12,2236.78,1115.86
PC3 -3,3071.75,5734.36,4567.57,2183.01,1119.66
