Specimen,1,2,3,4,5
PC2 +3,2.550864746,0.822685896,8.456506891,15.77201081,18.30873757
PC2 +2,0.142430392,-0.871336426,6.530933145,10.55342306,11.27756934
PC2 +1,-0.279393317,-0.335702396,6.8170921,7.415670285,7.440352261
PC1 +0,-0.882336516,-0.165814639,6.210256155,5.044885111,5.418322734
PC2 -1,-0.191838294,-0.120535243,5.580729529,3.606372191,3.728108167
PC2 -2,-0.101333967,0.233419971,2.86230644,1.216118784,2.270389035
PC2 -3,1.296454448,0.756687381,2.137121575,0.032978717,1.393945603
