Type,Spine 1 L2 Change,Spine 4 L5 Change
Inf +3,3.713750606,4.115985503
Inf +2,3.064422592,0.979015939
Inf +1,0.713975605,0.731559149
Inf -1,-0.709539006,-2.14594116
Inf -2,-0.98017157,-10.16597795
Inf -3,-1.091403455,-38.31770569
