Type,Spine 1 L2 Change,Spine 4 L5 Change
Sup +3,1.20390294,0.716629371
Sup +2,0.758975399,0.165257204
Sup +1,0.332111156,0.025226178
Sup -1,-0.093485488,-0.716286158
Sup -2,0.053239193,-1.068937823
Sup -3,0.171442877,-1.458313313
