Type,Spine 1 L2 Change,Spine 4 L5 Change
Inf +3 Sup +3,4.977230738,5.314486347
Inf +2 Sup +2,3.783468597,1.266285471
Inf +1 Sup +1,1.041333262,0.770342252
Inf -1 Sup -1,-0.82774269,-2.534801829
Inf -2 Sup -2,-1.022636164,-10.83627353
Inf -3 Sup -3,-1.018833364,-38.64101262
