Type,Spine 1 L2 Change,Spine 4 L5 Change
Inf +3,11.17709231,10.12231002
Inf +2,7.316216524,0.739766532
Inf +1,2.974357307,0.242675706
Inf -1,-2.349631701,-0.354933856
Inf -2,-4.147059302,-4.222337171
Inf -3,-5.47943869,-21.32519645
