Type,Spine 1 L2 Change,Spine 4 L5 Change
Sup +3,9.70942617,8.233915168
Sup +2,5.296346282,4.871490099
Sup +1,2.0982455,2.217098457
Sup -1,-1.409453812,-1.432942264
Sup -2,-2.158083871,-2.684840748
Sup -3,-2.816956373,-3.702134372
