Model,PC1,PC2,PC3
3,6543.38,4159.29,2930.69
2,5887.75,4291.53,3420.55
1,5059.89,4355.98,3846.57
0,4134.88,4134.88,4134.88
-1,2962.82,4051.57,4409.05
-2,1696.47,3434.91,4240.58
-3,1131.86,3182.81,4141.31
